"id","parent_id","name","a_canceled","a_count","a_issued_l","a_issued_t","a_stolen","b_canceled","b_count","b_early","b_fixed","b_inside","b_invalid","b_outside","b_portable","b_stolen","b_valid","b_wtf","v_abs","v_count","vote_count_1","vote_count_2","vote_count_3","vote_count_4","vote_count_5","vote_count_6","vote_count_7"
77000901090000,77000900000000,"район Теплый Стан",382,1700,1318,87,0,34583,81520,0,45498,45722,946,1215,1215,0,45767,0,1112,83239,7610,4548,792,11228,7242,13890,457
77000901100000,77000900000000,"район Черемушки",324,1430,1106,50,0,13261,49000,0,34890,34981,581,758,758,0,35067,0,946,63279,4691,3077,538,7912,4390,14107,352
77000901110000,77000900000000,"район Южное Бутово",511,3027,2516,168,0,42498,108100,0,64129,64281,934,1321,1320,0,64515,0,1751,125529,8444,7518,1011,11974,5493,29548,527
77000901120000,77000900000000,"район Ясенево",758,2680,1922,100,0,31011,115900,0,82746,83176,1239,1713,1713,0,83220,0,1388,119275,9924,6353,1027,14479,6169,44719,549
77001000370000,77001000000000,"район Аэропорт",173,927,754,23,0,11418,39700,0,27125,27281,748,1001,1001,0,27378,0,654,43371,3939,2016,417,5683,3889,11161,273
77001000380000,77001000000000,"район Беговой ",177,700,523,11,0,4059,23650,0,19078,19216,246,375,375,0,19207,0,484,26052,2380,1501,232,3179,1932,9867,116
77001000390000,77001000000000,"Бескудниковский район ",188,1160,969,29,3,21659,49750,0,27228,27378,635,713,713,0,27306,0,632,50406,4220,3462,504,5777,2770,10331,242
77001000410000,77001000000000,"Войковский район",214,920,706,70,0,8448,41400,0,32044,32374,1062,578,577,0,31559,0,763,43932,3390,1961,350,6022,2834,16769,233
77001000420000,77001000000000,"район Восточное Дегунино",79,1161,1082,39,0,22267,59400,0,35327,35721,786,1412,1411,0,35952,0,807,60262,4928,4361,503,7490,3223,15133,314
77001000430000,77001000000000,"Головинский район",0,1455,1455,45,0,25211,60700,0,34276,34435,487,1054,1054,0,34843,0,946,63782,4818,2719,437,7576,3025,16043,225
77001000440000,77001000000000,"Дмитровский район",140,1111,971,34,0,20754,51800,0,28810,29168,449,1878,1878,0,30239,0,573,53417,3920,3721,460,6096,2241,13567,234
77001000450000,77001000000000,"район Западное Дегунино",266,1210,944,84,0,8285,45000,0,35690,35745,596,970,967,0,36061,0,638,52938,3889,3336,424,6181,1666,20346,219
77001000460000,77001000000000,"район Коптево",286,1400,1114,73,0,5921,43620,0,36059,36481,628,1218,1218,0,36649,0,945,60644,5157,3546,502,7643,3843,15692,266
77001000470000,77001000000000,"Левобережный район",109,610,501,45,0,4602,28750,0,22788,23016,365,1132,1132,0,23555,0,600,34245,1758,1352,238,3811,1637,14620,139
77001000490000,77001000000000,"Савеловский район",170,835,665,23,0,6097,33350,0,25928,26707,520,546,546,0,25954,0,1027,38727,2918,1854,297,4813,2753,13145,174
77001000500000,77001000000000,"район Сокол",124,570,446,15,0,2500,26200,0,22618,23275,456,425,425,0,22587,0,458,29671,2892,1478,254,4237,3017,10532,177
77001000510000,77001000000000,"Тимирязевский район",475,1320,845,64,0,6931,43350,0,34596,34676,616,1743,1741,0,35721,0,667,52119,4897,2787,441,6797,3251,17271,277
77001000520000,77001000000000,"район Ховрино",219,1201,982,47,0,11628,51700,0,38674,39132,355,940,934,0,39253,0,553,54678,4847,2811,223,7185,4001,20031,155
77001000530000,77001000000000,"Хорошевский район",110,1166,1056,34,0,6792,36950,0,29071,29390,438,768,768,0,29401,0,780,43642,3883,2362,376,6285,3307,12974,214
